iteration,distance,num_mutants,cns_ref_diff,cns_sabin_diff,num_medaka_variants
real_sabin_1,0.001,1,3,2,1
real_sabin_1,0.002,2,4,2,2
real_sabin_1,0.003,3,5,2,3
real_sabin_1,0.004,4,6,2,4
real_sabin_1,0.005,5,7,2,5
real_sabin_1,0.006,6,8,2,6
real_sabin_1,0.007,7,9,2,7
real_sabin_1,0.008,8,10,2,8
real_sabin_1,0.009,9,11,2,9
real_sabin_1,0.01,11,13,2,11
real_sabin_1,0.02,22,24,2,22
real_sabin_1,0.03,33,35,2,31
real_sabin_1,0.04,44,44,2,43
real_sabin_1,0.05,55,56,2,52
real_sabin_1,0.06,66,68,2,62
real_sabin_1,0.07,77,78,2,70
real_sabin_1,0.08,88,88,4,84
real_sabin_1,0.09,99,98,4,92
real_sabin_1,0.1,110,109,4,129
real_sabin_1,0.11,121,122,7,103
real_sabin_1,0.12,132,136,4,115
real_sabin_1,0.13,143,142,3,126
real_sabin_1,0.14,154,152,7,137
real_sabin_1,0.15,166,168,2,144
real_sabin_1,0.16,177,178,3,172
real_sabin_1,0.17,188,191,7,201
real_sabin_1,0.18,199,200,5,165
real_sabin_1,0.19,210,211,3,183
real_sabin_1,0.2,221,0,0,226
real_sabin_1,0.21,232,239,11,184
real_sabin_1,0.22,243,252,22,226
real_sabin_1,0.23,254,0,0,0
real_sabin_1,0.24,265,0,0,0
real_sabin_1,0.25,276,0,0,0
real_sabin_1,0.26,287,0,0,0
real_sabin_1,0.27,298,0,0,0
real_sabin_1,0.28,309,0,0,0
real_sabin_1,0.29,321,347,63,212
real_sabin_1,0.3,332,0,0,0
real_sabin_1,0.31,343,0,0,0
real_sabin_1,0.32,354,0,0,0
real_sabin_1,0.33,365,0,0,0
real_sabin_1,0.34,376,0,0,0
real_sabin_1,0.35,387,0,0,0
real_sabin_2,0.001,1,3,2,1
real_sabin_2,0.002,2,4,2,2
real_sabin_2,0.003,3,4,1,3
real_sabin_2,0.004,4,6,2,4
real_sabin_2,0.005,5,7,2,5
real_sabin_2,0.006,6,8,2,6
real_sabin_2,0.007,7,9,2,7
real_sabin_2,0.008,8,10,2,8
real_sabin_2,0.009,9,11,2,9
real_sabin_2,0.01,11,12,3,10
real_sabin_2,0.02,22,24,2,22
real_sabin_2,0.03,33,35,3,32
real_sabin_2,0.04,44,46,2,40
real_sabin_2,0.05,55,57,2,55
real_sabin_2,0.06,66,68,4,65
real_sabin_2,0.07,77,79,2,73
real_sabin_2,0.08,88,88,2,85
real_sabin_2,0.09,99,102,3,87
real_sabin_2,0.1,110,110,5,99
real_sabin_2,0.11,121,122,3,108
real_sabin_2,0.12,132,132,2,115
real_sabin_2,0.13,143,142,6,126
real_sabin_2,0.14,154,151,5,156
real_sabin_2,0.15,166,166,3,137
real_sabin_2,0.16,177,178,8,150
real_sabin_2,0.17,188,191,13,176
real_sabin_2,0.18,199,197,4,161
real_sabin_2,0.19,210,212,5,185
real_sabin_2,0.2,221,221,7,182
real_sabin_2,0.21,232,232,6,198
real_sabin_2,0.22,243,0,0,0
real_sabin_2,0.23,254,249,8,239
real_sabin_2,0.24,265,0,0,0
real_sabin_2,0.25,276,0,0,0
real_sabin_2,0.26,287,0,0,0
real_sabin_2,0.27,298,0,0,0
real_sabin_2,0.28,309,0,0,0
real_sabin_2,0.29,321,0,0,0
real_sabin_2,0.3,332,0,0,0
real_sabin_2,0.31,343,0,0,0
real_sabin_2,0.32,354,0,0,0
real_sabin_2,0.33,365,0,0,0
real_sabin_2,0.34,376,0,0,0
real_sabin_2,0.35,387,0,0,0
real_sabin_3,0.001,1,3,2,1
real_sabin_3,0.002,2,4,2,2
real_sabin_3,0.003,3,5,2,3
real_sabin_3,0.004,4,6,2,4
real_sabin_3,0.005,5,7,2,5
real_sabin_3,0.006,6,8,2,6
real_sabin_3,0.007,7,9,2,6
real_sabin_3,0.008,8,10,2,8
real_sabin_3,0.009,9,11,2,9
real_sabin_3,0.01,11,13,2,11
real_sabin_3,0.02,22,23,2,22
real_sabin_3,0.03,33,36,3,32
real_sabin_3,0.04,44,46,2,41
real_sabin_3,0.05,55,57,2,54
real_sabin_3,0.06,66,67,3,63
real_sabin_3,0.07,77,77,3,74
real_sabin_3,0.08,88,88,1,83
real_sabin_3,0.09,99,102,3,92
real_sabin_3,0.1,110,110,2,102
real_sabin_3,0.11,121,122,1,108
real_sabin_3,0.12,132,135,2,115
real_sabin_3,0.13,143,138,8,121
real_sabin_3,0.14,154,152,5,152
real_sabin_3,0.15,166,164,4,145
real_sabin_3,0.16,177,176,3,172
real_sabin_3,0.17,188,186,4,164
real_sabin_3,0.18,199,198,14,189
real_sabin_3,0.19,210,211,5,171
real_sabin_3,0.2,221,223,2,235
real_sabin_3,0.21,232,0,0,0
real_sabin_3,0.22,243,0,0,0
real_sabin_3,0.23,254,0,0,0
real_sabin_3,0.24,265,343,122,176
real_sabin_3,0.25,276,0,0,0
real_sabin_3,0.26,287,0,0,0
real_sabin_3,0.27,298,0,0,0
real_sabin_3,0.28,309,0,0,0
real_sabin_3,0.29,321,0,0,0
real_sabin_3,0.3,332,0,0,0
real_sabin_3,0.31,343,0,0,0
real_sabin_3,0.32,354,0,0,0
real_sabin_3,0.33,365,0,0,0
real_sabin_3,0.34,376,0,0,0
real_sabin_3,0.35,387,0,0,0
real_sabin_4,0.001,1,3,2,1
real_sabin_4,0.002,2,4,2,2
real_sabin_4,0.003,3,4,1,2
real_sabin_4,0.004,4,6,2,4
real_sabin_4,0.005,5,7,2,5
real_sabin_4,0.006,6,8,2,6
real_sabin_4,0.007,7,9,2,7
real_sabin_4,0.008,8,10,2,8
real_sabin_4,0.009,9,11,2,9
real_sabin_4,0.01,11,13,2,11
real_sabin_4,0.02,22,24,2,22
real_sabin_4,0.03,33,35,2,32
real_sabin_4,0.04,44,46,2,44
real_sabin_4,0.05,55,56,3,49
real_sabin_4,0.06,66,66,2,61
real_sabin_4,0.07,77,79,2,70
real_sabin_4,0.08,88,87,3,83
real_sabin_4,0.09,99,100,2,93
real_sabin_4,0.1,110,157,54,99
real_sabin_4,0.11,121,121,4,106
real_sabin_4,0.12,132,133,7,115
real_sabin_4,0.13,143,142,4,131
real_sabin_4,0.14,154,154,3,141
real_sabin_4,0.15,166,163,3,143
real_sabin_4,0.16,177,173,5,159
real_sabin_4,0.17,188,187,4,222
real_sabin_4,0.18,199,197,8,167
real_sabin_4,0.19,210,211,3,170
real_sabin_4,0.2,221,224,13,178
real_sabin_4,0.21,232,232,4,199
real_sabin_4,0.22,243,254,35,216
real_sabin_4,0.23,254,256,9,196
real_sabin_4,0.24,265,269,18,197
real_sabin_4,0.25,276,280,16,200
real_sabin_4,0.26,287,0,0,0
real_sabin_4,0.27,298,0,0,0
real_sabin_4,0.28,309,0,0,0
real_sabin_4,0.29,321,0,0,0
real_sabin_4,0.3,332,0,0,0
real_sabin_4,0.31,343,0,0,0
real_sabin_4,0.32,354,0,0,0
real_sabin_4,0.33,365,558,332,0
real_sabin_4,0.34,376,0,0,0
real_sabin_4,0.35,387,0,0,0
real_sabin_5,0.001,1,3,2,1
real_sabin_5,0.002,2,4,2,2
real_sabin_5,0.003,3,5,2,3
real_sabin_5,0.004,4,6,2,4
real_sabin_5,0.005,5,7,2,5
real_sabin_5,0.006,6,8,2,6
real_sabin_5,0.007,7,9,2,7
real_sabin_5,0.008,8,10,2,8
real_sabin_5,0.009,9,11,2,9
real_sabin_5,0.01,11,13,2,11
real_sabin_5,0.02,22,24,2,22
real_sabin_5,0.03,33,35,2,33
real_sabin_5,0.04,44,45,3,40
real_sabin_5,0.05,55,56,3,51
real_sabin_5,0.06,66,68,2,59
real_sabin_5,0.07,77,78,1,77
real_sabin_5,0.08,88,90,2,83
real_sabin_5,0.09,99,100,3,91
real_sabin_5,0.1,110,112,2,106
real_sabin_5,0.11,121,120,5,110
real_sabin_5,0.12,132,133,5,124
real_sabin_5,0.13,143,142,4,123
real_sabin_5,0.14,154,157,7,216
real_sabin_5,0.15,166,167,2,215
real_sabin_5,0.16,177,176,4,151
real_sabin_5,0.17,188,187,7,160
real_sabin_5,0.18,199,198,3,211
real_sabin_5,0.19,210,214,14,165
real_sabin_5,0.2,221,218,7,222
real_sabin_5,0.21,232,232,10,189
real_sabin_5,0.22,243,246,8,198
real_sabin_5,0.23,254,0,0,0
real_sabin_5,0.24,265,281,34,198
real_sabin_5,0.25,276,306,60,194
real_sabin_5,0.26,287,0,0,0
real_sabin_5,0.27,298,0,0,0
real_sabin_5,0.28,309,0,0,0
real_sabin_5,0.29,321,0,0,0
real_sabin_5,0.3,332,0,0,0
real_sabin_5,0.31,343,0,0,0
real_sabin_5,0.32,354,0,0,0
real_sabin_5,0.33,365,0,0,0
real_sabin_5,0.34,376,0,0,0
real_sabin_5,0.35,387,0,0,0
real_sabin_6,0.001,1,3,2,1
real_sabin_6,0.002,2,4,2,2
real_sabin_6,0.003,3,5,2,3
real_sabin_6,0.004,4,6,2,4
real_sabin_6,0.005,5,7,2,5
real_sabin_6,0.006,6,7,1,6
real_sabin_6,0.007,7,9,2,7
real_sabin_6,0.008,8,10,2,8
real_sabin_6,0.009,9,11,2,9
real_sabin_6,0.01,11,13,2,11
real_sabin_6,0.02,22,24,2,22
real_sabin_6,0.03,33,34,2,32
real_sabin_6,0.04,44,47,5,39
real_sabin_6,0.05,55,57,2,50
real_sabin_6,0.06,66,68,2,62
real_sabin_6,0.07,77,78,2,68
real_sabin_6,0.08,88,90,3,86
real_sabin_6,0.09,99,100,1,94
real_sabin_6,0.1,110,109,1,101
real_sabin_6,0.11,121,121,4,106
real_sabin_6,0.12,132,134,2,124
real_sabin_6,0.13,143,144,10,127
real_sabin_6,0.14,154,155,4,144
real_sabin_6,0.15,166,167,7,176
real_sabin_6,0.16,177,177,2,154
real_sabin_6,0.17,188,190,2,155
real_sabin_6,0.18,199,198,2,197
real_sabin_6,0.19,210,213,3,203
real_sabin_6,0.2,221,0,0,199
real_sabin_6,0.21,232,235,4,194
real_sabin_6,0.22,243,243,8,189
real_sabin_6,0.23,254,255,6,200
real_sabin_6,0.24,265,266,14,217
real_sabin_6,0.25,276,0,0,0
real_sabin_6,0.26,287,0,0,222
real_sabin_6,0.27,298,0,0,219
real_sabin_6,0.28,309,0,0,0
real_sabin_6,0.29,321,0,0,0
real_sabin_6,0.3,332,0,0,0
real_sabin_6,0.31,343,0,0,0
real_sabin_6,0.32,354,0,0,0
real_sabin_6,0.33,365,0,0,0
real_sabin_6,0.34,376,0,0,0
real_sabin_6,0.35,387,0,0,0
real_sabin_7,0.001,1,3,2,1
real_sabin_7,0.002,2,4,2,2
real_sabin_7,0.003,3,5,2,3
real_sabin_7,0.004,4,6,2,4
real_sabin_7,0.005,5,6,2,5
real_sabin_7,0.006,6,8,2,6
real_sabin_7,0.007,7,9,2,7
real_sabin_7,0.008,8,10,2,8
real_sabin_7,0.009,9,10,2,9
real_sabin_7,0.01,11,13,2,11
real_sabin_7,0.02,22,24,2,22
real_sabin_7,0.03,33,34,3,32
real_sabin_7,0.04,44,45,2,44
real_sabin_7,0.05,55,56,2,52
real_sabin_7,0.06,66,67,2,66
real_sabin_7,0.07,77,77,3,72
real_sabin_7,0.08,88,90,2,81
real_sabin_7,0.09,99,98,2,90
real_sabin_7,0.1,110,110,2,96
real_sabin_7,0.11,121,120,2,110
real_sabin_7,0.12,132,132,5,120
real_sabin_7,0.13,143,145,2,129
real_sabin_7,0.14,154,153,3,137
real_sabin_7,0.15,166,167,3,157
real_sabin_7,0.16,177,177,2,156
real_sabin_7,0.17,188,187,3,169
real_sabin_7,0.18,199,199,3,164
real_sabin_7,0.19,210,211,4,236
real_sabin_7,0.2,221,0,0,200
real_sabin_7,0.21,232,0,0,0
real_sabin_7,0.22,243,0,0,0
real_sabin_7,0.23,254,261,17,197
real_sabin_7,0.24,265,0,0,0
real_sabin_7,0.25,276,0,0,0
real_sabin_7,0.26,287,0,0,0
real_sabin_7,0.27,298,0,0,0
real_sabin_7,0.28,309,0,0,0
real_sabin_7,0.29,321,0,0,0
real_sabin_7,0.3,332,0,0,0
real_sabin_7,0.31,343,0,0,0
real_sabin_7,0.32,354,0,0,0
real_sabin_7,0.33,365,0,0,0
real_sabin_7,0.34,376,0,0,0
real_sabin_7,0.35,387,0,0,0
real_sabin_8,0.001,1,3,2,1
real_sabin_8,0.002,2,4,2,2
real_sabin_8,0.003,3,5,2,3
real_sabin_8,0.004,4,6,2,4
real_sabin_8,0.005,5,7,2,5
real_sabin_8,0.006,6,7,3,5
real_sabin_8,0.007,7,8,1,7
real_sabin_8,0.008,8,10,2,8
real_sabin_8,0.009,9,11,2,9
real_sabin_8,0.01,11,13,2,11
real_sabin_8,0.02,22,24,2,22
real_sabin_8,0.03,33,35,2,33
real_sabin_8,0.04,44,46,2,43
real_sabin_8,0.05,55,57,2,51
real_sabin_8,0.06,66,66,3,64
real_sabin_8,0.07,77,78,2,75
real_sabin_8,0.08,88,90,2,85
real_sabin_8,0.09,99,99,3,88
real_sabin_8,0.1,110,110,4,100
real_sabin_8,0.11,121,123,2,107
real_sabin_8,0.12,132,133,3,121
real_sabin_8,0.13,143,145,2,129
real_sabin_8,0.14,154,155,2,129
real_sabin_8,0.15,166,168,2,169
real_sabin_8,0.16,177,186,19,148
real_sabin_8,0.17,188,189,5,159
real_sabin_8,0.18,199,198,1,210
real_sabin_8,0.19,210,215,13,185
real_sabin_8,0.2,221,0,0,0
real_sabin_8,0.21,232,227,9,219
real_sabin_8,0.22,243,0,0,198
real_sabin_8,0.23,254,255,9,195
real_sabin_8,0.24,265,0,0,0
real_sabin_8,0.25,276,0,0,0
real_sabin_8,0.26,287,295,42,212
real_sabin_8,0.27,298,0,0,0
real_sabin_8,0.28,309,0,0,0
real_sabin_8,0.29,321,0,0,0
real_sabin_8,0.3,332,0,0,0
real_sabin_8,0.31,343,0,0,0
real_sabin_8,0.32,354,0,0,0
real_sabin_8,0.33,365,0,0,0
real_sabin_8,0.34,376,0,0,0
real_sabin_8,0.35,387,0,0,0
real_sabin_9,0.001,1,3,2,1
real_sabin_9,0.002,2,4,2,2
real_sabin_9,0.003,3,5,2,3
real_sabin_9,0.004,4,6,2,4
real_sabin_9,0.005,5,7,2,5
real_sabin_9,0.006,6,8,2,6
real_sabin_9,0.007,7,9,2,7
real_sabin_9,0.008,8,10,2,8
real_sabin_9,0.009,9,11,2,9
real_sabin_9,0.01,11,13,2,11
real_sabin_9,0.02,22,24,2,21
real_sabin_9,0.03,33,34,2,33
real_sabin_9,0.04,44,45,1,42
real_sabin_9,0.05,55,55,2,53
real_sabin_9,0.06,66,67,3,64
real_sabin_9,0.07,77,77,4,74
real_sabin_9,0.08,88,88,2,81
real_sabin_9,0.09,99,99,1,91
real_sabin_9,0.1,110,111,1,101
real_sabin_9,0.11,121,121,4,111
real_sabin_9,0.12,132,132,3,118
real_sabin_9,0.13,143,143,1,127
real_sabin_9,0.14,154,158,4,143
real_sabin_9,0.15,166,165,4,147
real_sabin_9,0.16,177,178,2,211
real_sabin_9,0.17,188,190,3,174
real_sabin_9,0.18,199,197,7,160
real_sabin_9,0.19,210,230,40,170
real_sabin_9,0.2,221,0,0,0
real_sabin_9,0.21,232,255,44,215
real_sabin_9,0.22,243,248,14,220
real_sabin_9,0.23,254,0,0,0
real_sabin_9,0.24,265,276,19,188
real_sabin_9,0.25,276,0,0,215
real_sabin_9,0.26,287,0,0,0
real_sabin_9,0.27,298,0,0,0
real_sabin_9,0.28,309,0,0,0
real_sabin_9,0.29,321,0,0,0
real_sabin_9,0.3,332,0,0,0
real_sabin_9,0.31,343,0,0,0
real_sabin_9,0.32,354,0,0,0
real_sabin_9,0.33,365,0,0,0
real_sabin_9,0.34,376,0,0,0
real_sabin_9,0.35,387,0,0,0
real_sabin_10,0.001,1,3,2,1
real_sabin_10,0.002,2,4,2,2
real_sabin_10,0.003,3,5,2,3
real_sabin_10,0.004,4,6,2,4
real_sabin_10,0.005,5,7,2,5
real_sabin_10,0.006,6,8,2,6
real_sabin_10,0.007,7,9,2,7
real_sabin_10,0.008,8,10,2,8
real_sabin_10,0.009,9,11,2,9
real_sabin_10,0.01,11,13,2,11
real_sabin_10,0.02,22,24,2,22
real_sabin_10,0.03,33,36,3,30
real_sabin_10,0.04,44,45,5,42
real_sabin_10,0.05,55,57,2,51
real_sabin_10,0.06,66,68,2,60
real_sabin_10,0.07,77,77,4,74
real_sabin_10,0.08,88,88,3,79
real_sabin_10,0.09,99,101,2,88
real_sabin_10,0.1,110,110,6,101
real_sabin_10,0.11,121,126,3,108
real_sabin_10,0.12,132,133,1,120
real_sabin_10,0.13,143,144,1,132
real_sabin_10,0.14,154,155,2,169
real_sabin_10,0.15,166,167,2,176
real_sabin_10,0.16,177,175,3,159
real_sabin_10,0.17,188,186,4,168
real_sabin_10,0.18,199,199,2,183
real_sabin_10,0.19,210,214,8,193
real_sabin_10,0.2,221,233,22,178
real_sabin_10,0.21,232,229,8,182
real_sabin_10,0.22,243,253,7,192
real_sabin_10,0.23,254,0,0,175
real_sabin_10,0.24,265,265,2,202
real_sabin_10,0.25,276,0,0,0
real_sabin_10,0.26,287,361,136,213
real_sabin_10,0.27,298,0,0,0
real_sabin_10,0.28,309,0,0,0
real_sabin_10,0.29,321,0,0,0
real_sabin_10,0.3,332,0,0,0
real_sabin_10,0.31,343,0,0,0
real_sabin_10,0.32,354,0,0,0
real_sabin_10,0.33,365,0,0,0
real_sabin_10,0.34,376,0,0,0
real_sabin_10,0.35,387,0,0,0
